"","Station_code","CWV","ELV","AOD","PM2.5","Temp","RH","NDVI","WD","WS","BLH","Press","season","day","month","lon","lat","model_pred","model_pred_10","predicted"
"4975","49",1.1595,260.2890625,0.961,166.1363636,286.0745544,73.58454895,0.194456272,327.1930847,2.528859615,325.8945313,990.8807813,"DJF","7",1,77.190156,28.531346,170.34209545559,170.342095455591,171.256788740337
"4976","49",0.9325,260.2890625,0.485852682,141.0208333,286.3074036,72.89821625,0.197927277,300.4616089,2.652462006,329.5655518,989.1984375,"DJF","8",1,77.190156,28.531346,127.14202377031,127.14202377031,129.076934019177
"4977","49",0.8185,260.2890625,0.206,133.1875,286.6018982,63.92996979,0.2007,299.1920471,3.274384975,339.039856,988.4146094,"DJF","9",1,77.190156,28.531346,92.2766004963836,92.2766004963834,94.3917268663192
"4978","49",0.8295,260.2890625,1.196807558,239.875,287.6700439,68.08052063,0.205233172,127.1592407,1.637851,264.4200439,988.900625,"DJF","12",1,77.190156,28.531346,250.315706002693,250.315706002693,252.953261519927
"4979","49",0.43,260.2890625,0.1315,96.9375,286.3721619,55.18856812,0.205505823,308.9353943,3.929452181,433.1038208,990.6780469,"DJF","14",1,77.190156,28.531346,56.9822403204493,56.9822403204495,57.9899674859071
"4980","49",0.8195,260.2890625,1.0695,324.25,286.4532776,67.94723511,0.2026,331.8391113,2.037307262,234.7016907,988.5755469,"DJF","17",1,77.190156,28.531346,246.524536274309,246.524536274309,250.08341183474
"4981","49",0.8285,260.2890625,0.26,179.0416667,286.3899841,66.84690857,0.20091827,315.196228,2.161490679,206.470459,988.82125,"DJF","18",1,77.190156,28.531346,197.629331357566,197.629331357566,200.509722993084
"4982","49",1.2815,260.2890625,0.388,180.0833333,287.9926147,65.90483093,0.198996621,313.9987183,1.92584753,185.7550507,988.7160156,"DJF","19",1,77.190156,28.531346,229.883175519705,229.883175519704,233.576061247677
"4983","49",0.6815,260.2890625,0.401850912,186.8958333,290.7717285,66.50097656,0.196929189,123.6204529,1.365243435,175.5420532,987.6571875,"DJF","20",1,77.190156,28.531346,213.875488695817,213.875488695816,215.903105782615
"4984","49",1.4515,260.2890625,1.890136146,127.625,286.673584,87.2635498,0.190793541,38.94639587,1.651273012,242.4751892,988.9610156,"DJF","23",1,77.190156,28.531346,218.505223918568,218.505223918568,221.903935175629
"4985","49",0.939,260.2890625,1.207450594,106.7291667,286.5744629,82.8299408,0.189084325,354.2710266,2.102107048,335.4988403,990.87125,"DJF","24",1,77.190156,28.531346,107.021838926387,107.021838926387,108.927538426804
